Date,Presenter,Paper,Why should we care,Appear in,Repo,Blogs
10/01/22,Pio Calderon,[Correlated Cascades: Compete or cooperate](https://arxiv.org/pdf/1510.00936.pdf),A model of behavior adoption in the presence of multiple cooperating or competing products,AAAI 2017,[1](https://alikhodadadi.github.io/C4/),
17/01/22,Marian-Andrei Rizoiu,[End-of-history illusion](https://wjh-www.harvard.edu/~dtg/Quoidbach%20et%20al%202013.pdf),A series of psychological studies that show that humans are not able to predict how much they will change in the future.,[Science 2013](https://www.science.org/doi/10.1126/science.1229294),[TED talk](https://www.ted.com/talks/dan_gilbert_the_psychology_of_your_future_self),
24/01/22,Dima Galat,[Synthesizing Adversarial Negative Responses for Robust ResponseRanking and Evaluation](https://arxiv.org/abs/2106.05894),Context dependent garbage in - strong predictor out,[ACL2021](https://aclanthology.org/2021.findings-acl.338/),[1](https://github.com/prakharguptaz/Adv_gen_dialogue),
31/01/22,Frankie Yuan,[Challenges in Detoxifying Language Models](https://arxiv.org/pdf/2109.07445.pdf),Side effects of trying to prevent certain language in language models,Findings of EMNLP 2021,,
07/02/22,Rohit Ram,[Polarization and tipping points](https://www.pnas.org/content/pnas/118/50/e2102144118.full.pdf),An explanation for political polarization and why it might be difficult to reverse,PNAS,https://github.com/mongooma/polarizationTipping,
14/02/22,Quyu Kong,[Learning Temporal Point Processes for Efficient Retrieval of Continuous Time Event Sequences](https://www.cse.iitd.ac.in/~srikanta/publication/aaai-22-a/aaai-22-a.pdf),A model to retrieve and rank a relevant set of event sequences for a given query sequence,AAAI 2022,[1](https://github.com/data-iitd/neuroseqret/),
21/02/22,Callum Pastuszak,[Multi-modal Identification of State-Sponsored Propaganda on Social Media](https://arxiv.org/abs/2012.13042),A model for detecting state sponsored propaganda on Twitter combining textual and visual analysis,ICPR 2020,,
28/02/22,Rohit Ram,[Polarized Ukraine 2014: opinion and territorial split demonstrated with the bounded confidence XY model parametrized by Twitter data](https://royalsocietypublishing.org/doi/10.1098/rsos.171935),,RSOS,[demo](http://maksymromensky.com/bounded_confidence_xy_model/),
07/03/22,Pio Calderon,[Modeling Adoption and Usage of Competing Products](https://arxiv.org/pdf/1406.0516.pdf),An extension of multivariate Hawkes to model the adoption and frequency of use of competing products,ICDM 2015,,
14/03/22,Daniela Elia,[Ontology-guided Job Market Demand Analysis: A Cross-Sectional Study for the Data Science field](https://dl.acm.org/doi/abs/10.1145/3132218.3132228),An Ontology-based Information Extraction (OBIE) method for job and skill data,Semantics2017,,
21/03/22,--,No group meeting; TRP intensive course for several students.,,,,
28/03/22,Marian-Andrei Rizoiu,[Misinformation in and about science](https://www.pnas.org/doi/pdf/10.1073/pnas.1912444117),A sharp and sober overview of what can go wrong on science and publishing: from predatory journal to salami publishing and p-value haching.,[PNAS](https://www.pnas.org/doi/full/10.1073/pnas.1912444117),[tools for calling bullsh*t](https://www.callingbullshit.org/tools/tools_legit.html),
04/04/22,Frankie Yuan,,,,,
11/04/22,Thomas Willingham,,,,,
18/04/22,Quyu Kong,,,,,
25/04/22,Callum Pastuszak,,,,,
02/05/22,Thomas Willingham,,,,,
09/05/22,Pio Calderon,,,,,
16/05/22,Marian-Andrei Rizoiu,,,,,
23/05/22,Daniela Elia,,,,,
30/05/22,Frankie Yuan,,,,,
06/06/22,Amelie Girard,,,,,
20/06/22,Rohit Ram,,,,,
27/06/22,Quyu Kong,,,,,
04/07/22,Callum Pastuszak,,,,,
11/07/22,Thomas Willingham,,,,,
18/07/22,Pio Calderon,,,,,
25/07/22,Marian-Andrei Rizoiu,,,,,
01/08/22,Daniela Elia,,,,,
08/08/22,Frankie Yuan,,,,,
15/08/22,Amelie Girard,,,,,
22/08/22,Rohit Ram,,,,,
29/08/22,Quyu Kong,,,,,
05/09/22,Callum Pastuszak,,,,,
12/09/22,Thomas Willingham,,,,,
19/09/22,Pio Calderon,,,,,
26/09/22,Marian-Andrei Rizoiu,,,,,
10/10/22,Daniela Elia,,,,,
17/10/22,Frankie Yuan,,,,,
24/10/22,Amelie Girard,,,,,
31/10/22,Rohit Ram,,,,,
07/11/22,Quyu Kong,,,,,
14/11/22,Callum Pastuszak,,,,,
21/11/22,Thomas Willingham,,,,,
28/11/22,Pio Calderon,,,,,
05/12/22,Marian-Andrei Rizoiu,,,,,
12/12/22,Daniela Elia,,,,,
19/12/22,Frankie Yuan,,,,,
26/12/22,Amelie Girard,,,,,
